sc_name hs_name ortho_class phospho_class
YLR273C ENSG00000219607 ortholog_many2many non-phosphorylated
YLR273C ENSG00000132825 ortholog_many2many non-phosphorylated
YLR273C ENSG00000119938 ortholog_many2many non-phosphorylated
YLR273C ENSG00000173281 ortholog_many2many non-phosphorylated
YLR273C ENSG00000235194 ortholog_many2many non-phosphorylated
YLR273C ENSG00000154415 ortholog_many2many non-phosphorylated
YLR273C ENSG00000049769 ortholog_many2many non-phosphorylated
YOR237W ENSG00000144645 ortholog_many2many non-phosphorylated
YOR237W ENSG00000130703 ortholog_many2many non-phosphorylated
YOR237W ENSG00000184792 ortholog_many2many non-phosphorylated
YOR237W ENSG00000141447 ortholog_many2many non-phosphorylated
YOR237W ENSG00000110048 ortholog_many2many non-phosphorylated
YOR237W ENSG00000091039 ortholog_many2many non-phosphorylated
YOR237W ENSG00000070882 ortholog_many2many non-phosphorylated
YOR237W ENSG00000021762 ortholog_many2many non-phosphorylated
YOR237W ENSG00000144909 ortholog_many2many non-phosphorylated
YOR237W ENSG00000079156 ortholog_many2many non-phosphorylated
YOR237W ENSG00000006025 ortholog_many2many non-phosphorylated
YER051W ENSG00000172943 ortholog_one2many non-phosphorylated
YNL289W ENSG00000115649 ortholog_one2many non-phosphorylated
YMR209C ENSG00000156017 ortholog_one2many non-phosphorylated
YER140W ENSG00000169762 ortholog_one2one non-phosphorylated
YBR084C-A ENSG00000108298 ortholog_one2many non-phosphorylated
YBL027W ENSG00000108298 ortholog_one2many non-phosphorylated
YLR377C ENSG00000130957 ortholog_one2many non-phosphorylated
YLR377C ENSG00000165140 ortholog_one2many non-phosphorylated
YLR405W ENSG00000105865 ortholog_one2one non-phosphorylated
YGL003C ENSG00000105325 ortholog_one2one non-phosphorylated
YBL082C ENSG00000214160 ortholog_one2one non-phosphorylated
YKR036C ENSG00000164049 ortholog_many2many non-phosphorylated
YKR036C ENSG00000072803 ortholog_many2many non-phosphorylated
YKR036C ENSG00000174776 ortholog_many2many non-phosphorylated
YKR036C ENSG00000153832 ortholog_many2many non-phosphorylated
YKR036C ENSG00000166167 ortholog_many2many non-phosphorylated
YKR036C ENSG00000174989 ortholog_many2many non-phosphorylated
YKR036C ENSG00000175575 ortholog_many2many non-phosphorylated
YKR036C ENSG00000162843 ortholog_many2many non-phosphorylated
YKR036C ENSG00000215529 ortholog_many2many non-phosphorylated
YKR036C ENSG00000187260 ortholog_many2many non-phosphorylated
YKR036C ENSG00000214050 ortholog_many2many non-phosphorylated
YKR036C ENSG00000131653 ortholog_many2many non-phosphorylated
YKR036C ENSG00000132004 ortholog_many2many non-phosphorylated
YKR036C ENSG00000109670 ortholog_many2many non-phosphorylated
YKR036C ENSG00000005448 ortholog_many2many non-phosphorylated
YER117W ENSG00000125691 ortholog_one2many non-phosphorylated
YMR137C ENSG00000198924 ortholog_one2one non-phosphorylated
YBL019W ENSG00000100823 ortholog_one2many non-phosphorylated
YBL019W ENSG00000169188 ortholog_one2many non-phosphorylated
YKL082C ENSG00000148296 ortholog_one2one non-phosphorylated
YOR077W ENSG00000151657 ortholog_one2one non-phosphorylated
YBR055C ENSG00000101161 ortholog_many2many non-phosphorylated
YFR027W ENSG00000101751 ortholog_many2many non-phosphorylated
YFR027W ENSG00000141446 ortholog_many2many non-phosphorylated
YFR027W ENSG00000171320 ortholog_many2many non-phosphorylated
YOR034C ENSG00000177054 ortholog_many2many non-phosphorylated
YOR034C ENSG00000198483 ortholog_many2many non-phosphorylated
YOR034C ENSG00000186908 ortholog_many2many non-phosphorylated
YBL003C ENSG00000184260 ortholog_one2many non-phosphorylated
YBL003C ENSG00000184270 ortholog_one2many non-phosphorylated
YBL003C ENSG00000246705 ortholog_one2many non-phosphorylated
YPL090C ENSG00000137154 ortholog_one2many non-phosphorylated
YER013W ENSG00000067596 ortholog_one2one non-phosphorylated
YDR440W ENSG00000104885 ortholog_one2one non-phosphorylated
YDL155W ENSG00000110092 ortholog_many2many non-phosphorylated
YDL155W ENSG00000134057 ortholog_many2many non-phosphorylated
YDL155W ENSG00000175305 ortholog_many2many non-phosphorylated
YDL155W ENSG00000113328 ortholog_many2many non-phosphorylated
YDL155W ENSG00000157456 ortholog_many2many non-phosphorylated
YDL155W ENSG00000133101 ortholog_many2many non-phosphorylated
YDL155W ENSG00000118816 ortholog_many2many non-phosphorylated
YDL155W ENSG00000105219 ortholog_many2many non-phosphorylated
YDL155W ENSG00000145386 ortholog_many2many non-phosphorylated
YDL155W ENSG00000105173 ortholog_many2many non-phosphorylated
YDL155W ENSG00000205089 ortholog_many2many non-phosphorylated
YDL155W ENSG00000138764 ortholog_many2many non-phosphorylated
YDL155W ENSG00000135083 ortholog_many2many non-phosphorylated
YDL155W ENSG00000118971 ortholog_many2many non-phosphorylated
YDL155W ENSG00000107443 ortholog_many2many non-phosphorylated
YDL155W ENSG00000152669 ortholog_many2many non-phosphorylated
YDL155W ENSG00000112576 ortholog_many2many non-phosphorylated
YDL155W ENSG00000162063 ortholog_many2many non-phosphorylated
YBR242W ENSG00000111906 ortholog_one2many non-phosphorylated
YEL041W ENSG00000008130 ortholog_one2many non-phosphorylated
YDL207W ENSG00000119392 ortholog_one2one non-phosphorylated
YML098W ENSG00000197780 ortholog_one2one non-phosphorylated
YHR058C ENSG00000133997 ortholog_one2one non-phosphorylated
