sc_name hs_name ortho_class phospho_class
YAL023C ENSG00000009830 ortholog_one2many phosphorylated
YBR097W ENSG00000196455 ortholog_one2one phosphorylated
YDR490C ENSG00000140992 ortholog_one2many phosphorylated
YOL001W ENSG00000115649 ortholog_one2many phosphorylated
YDR137W ENSG00000107185 ortholog_one2one phosphorylated
YBR220C ENSG00000167700 ortholog_many2many phosphorylated
YBR220C ENSG00000169359 ortholog_many2many phosphorylated
YBR187W ENSG00000134851 ortholog_one2one phosphorylated
YPR048W ENSG00000188566 ortholog_one2one phosphorylated
YPR055W ENSG00000131558 ortholog_one2one phosphorylated
YLR077W ENSG00000129158 ortholog_many2many phosphorylated
YLR077W ENSG00000136161 ortholog_many2many phosphorylated
YLR077W ENSG00000136144 ortholog_many2many phosphorylated
YLR077W ENSG00000156313 ortholog_many2many phosphorylated
YLR077W ENSG00000166965 ortholog_many2many phosphorylated
YLR077W ENSG00000103657 ortholog_many2many phosphorylated
YLR077W ENSG00000180198 ortholog_many2many phosphorylated
YLR077W ENSG00000003393 ortholog_many2many phosphorylated
YBL009W ENSG00000177602 ortholog_many2many phosphorylated
YBL009W ENSG00000184216 ortholog_many2many phosphorylated
YBL009W ENSG00000090376 ortholog_many2many phosphorylated
YBL009W ENSG00000134070 ortholog_many2many phosphorylated
YGR238C ENSG00000111727 ortholog_many2many phosphorylated
YGR238C ENSG00000037637 ortholog_many2many phosphorylated
YGR238C ENSG00000165516 ortholog_many2many phosphorylated
YGR238C ENSG00000124702 ortholog_many2many phosphorylated
YGR238C ENSG00000197776 ortholog_many2many phosphorylated
YGR238C ENSG00000162755 ortholog_many2many phosphorylated
YGR238C ENSG00000128607 ortholog_many2many phosphorylated
YGR238C ENSG00000136933 ortholog_many2many phosphorylated
YGR238C ENSG00000099949 ortholog_many2many phosphorylated
YGR238C ENSG00000172534 ortholog_many2many phosphorylated
YDR270W ENSG00000157087 ortholog_many2many phosphorylated
YDR270W ENSG00000127249 ortholog_many2many phosphorylated
YDR270W ENSG00000187527 ortholog_many2many phosphorylated
YDR270W ENSG00000075673 ortholog_many2many phosphorylated
YDR270W ENSG00000132681 ortholog_many2many phosphorylated
YDR270W ENSG00000064270 ortholog_many2many phosphorylated
YBR042C ENSG00000026652 ortholog_many2many phosphorylated
YBR042C ENSG00000155189 ortholog_many2many phosphorylated
YBR042C ENSG00000160216 ortholog_many2many phosphorylated
YBR042C ENSG00000123684 ortholog_many2many phosphorylated
YBR042C ENSG00000172954 ortholog_many2many phosphorylated
YKL012W ENSG00000110844 ortholog_one2many phosphorylated
YKL012W ENSG00000196504 ortholog_one2many phosphorylated
YMR061W ENSG00000176102 ortholog_one2one phosphorylated
YDL085W ENSG00000042286 ortholog_one2many phosphorylated
YKL145W ENSG00000161057 ortholog_one2one phosphorylated
YMR231W ENSG00000160695 ortholog_one2one phosphorylated
YHR170W ENSG00000169251 ortholog_one2one phosphorylated
YKL065C ENSG00000075790 ortholog_many2many phosphorylated
YKL065C ENSG00000185825 ortholog_many2many phosphorylated
YBL068W ENSG00000147224 ortholog_many2many phosphorylated
YBL068W ENSG00000101911 ortholog_many2many phosphorylated
YBL068W ENSG00000229937 ortholog_many2many phosphorylated
YDR410C ENSG00000116237 ortholog_one2one phosphorylated
YML097C ENSG00000075399 ortholog_one2one phosphorylated
YLR069C ENSG00000168827 ortholog_one2one phosphorylated
YNL048W ENSG00000253710 ortholog_one2one phosphorylated
YJL198W ENSG00000141485 ortholog_many2many phosphorylated
YJL198W ENSG00000007216 ortholog_many2many phosphorylated
YJL198W ENSG00000104044 ortholog_many2many phosphorylated
YJL198W ENSG00000158296 ortholog_many2many phosphorylated
YJL198W ENSG00000164707 ortholog_many2many phosphorylated
YJL198W ENSG00000081800 ortholog_many2many phosphorylated
YNL052W ENSG00000131055 ortholog_many2many phosphorylated
YNL052W ENSG00000131143 ortholog_many2many phosphorylated
YAL036C ENSG00000185721 ortholog_one2one phosphorylated
YDR013W ENSG00000101003 ortholog_one2one phosphorylated
YBR111C ENSG00000183828 ortholog_one2many phosphorylated
YBR111C ENSG00000165609 ortholog_one2many phosphorylated
YAL060W ENSG00000140043 ortholog_many2many phosphorylated
YAL060W ENSG00000115129 ortholog_many2many phosphorylated
YAL060W ENSG00000205758 ortholog_many2many phosphorylated
YAL060W ENSG00000180011 ortholog_many2many phosphorylated
YAL060W ENSG00000172955 ortholog_many2many phosphorylated
YAL060W ENSG00000198099 ortholog_many2many phosphorylated
YAL060W ENSG00000140263 ortholog_many2many phosphorylated
YAL060W ENSG00000196616 ortholog_many2many phosphorylated
YAL060W ENSG00000187758 ortholog_many2many phosphorylated
YAL060W ENSG00000248144 ortholog_many2many phosphorylated
YAL060W ENSG00000171724 ortholog_many2many phosphorylated
YAL060W ENSG00000106853 ortholog_many2many phosphorylated
YAL060W ENSG00000197894 ortholog_many2many phosphorylated
YAL060W ENSG00000196344 ortholog_many2many phosphorylated
YAL060W ENSG00000108828 ortholog_many2many phosphorylated
YDR424C ENSG00000088986 ortholog_one2many phosphorylated
YDR424C ENSG00000264364 ortholog_one2many phosphorylated
YDL097C ENSG00000166200 ortholog_one2many phosphorylated
