,x
allomyces_macrogynus,0.0137274237661863
coprinopsis_cinerea,0.0183111819576305
spizellomyces_punctatus,0.0179141003390241
ustilago_maydis,0.0147462046153871
schizosaccharomyces_pombe,0.0231675298897125
saccharomyces_cerevisiae,0.022361148612915
amphimedon_queenslandica,0.0267196661386067
branchiostoma_lanceolatum,0.0228677750435148
caenorhabditis_elegans,0.0225870136182845
canis_lupus,0.018187463394762
capitella_teleta,0.0229019701447102
drosophila_melanogaster,0.0212639596119164
danio_rerio,0.0184401098359757
gallus_gallus,0.0191141957929337
helobdella_robusta,0.0259662047427163
homo_sapiens,0.0171884231001202
ixodes_scapularis,0.0205226599912795
lottia_gigantea,0.0288257759724491
lingula_anatina,0.0230899440274281
mizuhopecten_yessoensis,0.026422673020995
nematostella_vectensis,0.0267627918495384
strongylocentrotus_purpuratus,0.0203895002195977
trichoplax_adhaerens,0.0284575942199723
xenopus_tropicalis,0.0209811878768413
